"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Aegis",12,7,5,33.2,180,138,1.3,0.79,0.15,"2.9%",50.3,8,-5,"58%","50%","58%",4.3,"43%","50%","54%","100%","58%","63%","49.8%","48.9%",3.07,1.13,1.36
"BK ROG Esports",12,8,4,33.2,184,150,1.23,0.84,1.27,"7.2%",63.7,3,1164,"58%","75%","83%",5.4,"38%","58%","53%","67%","83%","86%","50.1%","53.1%",3.23,1.03,1.45
"GameWard",12,4,8,30.8,107,176,0.61,0.77,-1.05,"-8.5%",35.6,-2.3,-1027,"50%","33%","25%",4.3,"63%","50%","42%","0%","17%","29%","49.5%","47.9%",3.17,1.14,1.2
"IZI Dream",12,2,10,30.4,95,187,0.51,0.77,-1.49,"-6.9%",34,-17.3,-1470,"50%","25%","25%",4.3,"67%","33%","42%",,"25%","32%","49.1%","48.8%",3.12,1.13,1.35
"Karmine Corp",12,9,3,31.2,202,120,1.68,0.86,1.32,"7.3%",66.5,8.5,1564,"67%","67%","83%",5.8,"61%","67%","63%","33%","50%","50%","51.0%","52.7%",2.99,1.08,1.52
"LDLC OL",12,5,7,32.3,141,160,0.88,0.77,-0.7,"-4.7%",36.8,4.9,-1103,"17%","33%","33%",3.1,"35%","67%","50%",,"50%","37%","50.0%","47.9%",3.33,1.07,1.29
"Solary",12,7,5,31.8,182,151,1.21,0.87,0.63,"5.2%",63.8,-5.4,1094,"75%","75%","50%",5.3,"61%","42%","50%","0%","58%","56%","50.2%","52.5%",3.2,1.28,1.37
"Team BDS Academy",12,3,9,31.1,124,201,0.62,0.87,-0.8,"-6.0%",42.5,-17.5,-485,"42%","42%","50%",4.3,"32%","25%","42%","100%","25%","21%","49.7%","51.1%",2.98,1.03,1.12
"Team GO",12,9,3,32.9,177,112,1.58,0.73,0.49,"4.3%",53.5,21.5,212,"58%","50%","42%",4.7,"70%","50%","54%","100%","75%","75%","49.7%","45.5%",2.94,1.14,1.19
"Vitality.Bee",12,6,6,30.3,128,129,0.99,0.71,0.02,"-0.9%",53.3,-3.3,56,"25%","50%","50%",4.5,"30%","58%","52%","0%","50%","44%","50.8%","51.7%",3.01,1.01,1.21
