"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Barça eSports",14,8,6,33.3,184,158,1.16,0.73,0.61,"6.7%",61.1,-3.9,790,"57%","64%","64%",4.9,"54%","93%","54%",,"50%","50%","51.4%","51.1%",3.13,0.98,1.3
"BISONS ECLUB",14,11,3,32.4,209,183,1.14,0.86,0.06,"2.3%",47.1,31.5,-115,"43%","36%","50%",3.7,"30%","50%","52%",,"57%","64%","50.8%","49.4%",2.92,0.77,1.13
"Finetwork KOI",13,8,5,37.5,207,131,1.58,0.69,0.65,"2.8%",61.7,-0.1,876,"85%","38%","62%",3.5,"58%","46%","57%","100%","77%","72%","49.3%","51.1%",3.76,1.29,1.36
"Fnatic TQ",14,2,12,32.5,162,264,0.61,0.93,-0.92,"-8.4%",48.1,-33.9,-306,"29%","43%","36%",4.8,"43%","36%","37%","50%","14%","18%","49.0%","49.4%",2.75,0.92,1.17
"Giants",14,9,5,31.1,207,133,1.56,0.78,0.62,"2.4%",56.1,8.2,791,"71%","43%","57%",4.7,"61%","43%","58%","100%","57%","63%","50.4%","51.3%",2.99,1.05,1.27
"Guasones",14,4,10,33.2,165,226,0.73,0.84,-0.49,"-2.4%",43.2,-14.6,-551,"50%","29%","57%",3.9,"43%","50%","36%","50%","50%","38%","49.8%","48.1%",3.17,1.1,1.3
"Los Heretics",14,10,4,35,204,196,1.04,0.82,-0.2,"2.2%",45.9,25.5,-367,"36%","86%","50%",4.1,"57%","64%","62%","25%","50%","58%","50.5%","51.5%",3.05,1.15,1.48
"Movistar Riders",13,7,6,28.6,202,199,1.02,1.08,0.65,"1.8%",58.7,-4.9,1286,"23%","85%","62%",6.5,"60%","23%","36%",,"46%","47%","50.3%","51.0%",2.98,1.05,1.07
"Rebels Gaming",14,5,9,31.2,177,187,0.95,0.83,0.09,"-1.4%",46,-10.3,-269,"64%","36%","36%",3.6,"57%","64%","57%","50%","36%","32%","49.6%","49.3%",3.18,1.13,1.24
"UCAM Tokiers",14,5,9,32.2,158,201,0.79,0.8,-0.96,"-5.6%",33.6,2.1,-1981,"43%","43%","29%",3.5,"39%","21%","44%",,"50%","58%","48.8%","47.9%",2.77,0.98,1.29
